Family Name,Group (Order),Age (in Mya),Youngest Age,Environment (terrestrial/aquatic),Source,Body length (m),Body mass (kg),source BM,"Diet (herbivore, omnivore,carnivore, small stuff eater)",Head presence,Head surface,Head projections,Head function,Body presence,Body projections,Body surface,Body function,Tail presence,Tail projections,Tail surface,Tail function,Notes,Habitat or water depth,Geographical Distribution
Pseudochromidae,Perciformes,Extant,0,Marine,wiki,0.163,NA,,?,1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.",,Indo-Pacific
Pseudopimelodidae,Siluriformes,Extant,0,Freshwater,fishbase (Shibatta 2003),0.179,NA,,?,1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., pectoral f.s.",,South America
Psilorhynchidae,Cypriniformes,Extant,0,Freshwater,fishbase (Nelson JS 1994),0.059,NA,,?,1,0,0,NA,1,1,0,NA,1,0,0,NA,,,India and Nepal to Burma
Psychrolutidae,Scorpaeniformes,Extant,0,Marine,fishbase (Nelson JS 1994),0.124,NA,,?,1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.",,"Atlantic, Indian, and Pacific"
Ptereleotridae,Perciformes,Extant,0,"Freshwater, brackish, marine",fishbase (Nelson 2006),0.079,NA,,?,1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.",,Tropical and subtropical waters
Ptilichthyidae,Perciformes,Extant,0,Marine,fishbase (Mecklenburg 2003),0.253,NA,,?,1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.",,Northern North Pacific
Rachycentridae,Perciformes,Extant,0,Marine,fishbase (Nelson JS 1984),0.163,NA,,carnivore,1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.",,Atlantic and Indo-Pacific
Retropinnidae,Osmeriformes,Extant,0,"Freshwater, brackish, marine",fishbase (Nelson JS 1984),0.143,NA,,?,1,0,0,NA,1,0,0,NA,1,0,0,NA,,,"New Zealand, Chatham Islands, southeastern Australia, and Tasmania"
Rhamphocottidae,Scorpaeniformes,Extant,0,Marine,fishbase (Nelson JS 1994),0.052,NA,,carnivore,1,?,1,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.; preopercular spine (fishbase) and head and body covered in multispines plates",,"North Pacific, Japan through Alaska to southern California"
Rhyacichthyidae,Perciformes,Extant,0,"Freshwater, brackish, marine",fishbase (Nelson JS 1984),0.155,NA,,?,1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.",,"Indo-Australian Archipelago, Philippines, China, and Solomon Islands"
