Groupe,Genus,species,Order,Family,System,Series,Stage,Group,Formation,Member,Locality,Max Age,Min Age,citation
Thelodonts,Turinia,pagei,Thelodontiformes,Turiniidae,Devonian,Gedinnian,,,Schistes de St Hubert,,Belgium,419,410,Blieck & Goujet 1991; Turner 1999 for BA
Thelodonts,Turinia,pagei,Thelodontiformes,Turiniidae,Devonian,,,,Luesma Formation,,Spain,419,417,Mader 1986; Turner 1999 for BA
Thelodonts,Turinia,pagei,Thelodontiformes,Turiniidae,Devonian,Lochkovian,,,Tilze Formation,,Lithuania,419,412,Turner 1999 for BA
Thelodonts,Turinia,pagei,Thelodontiformes,Turiniidae,Devonian,Lochkovian,,,Stoniskiai Formation,,Lithuania,412,410,Turner 1999 for BA
Thelodonts,Turinia,pagei,Thelodontiformes,Turiniidae,Devonian,Lochkovian,,,Borszczow Formation,,"Podolia, Ukraine",419,414,Turner 1999 for BA
Thelodonts,Turinia,pagei,Thelodontiformes,Turiniidae,Devonian,Lochkovian,,,Fraenkelryggen Formation,,Spitsbergen,417,415,Harland 1997 chpt.16 Geology of Svalbard; Boucot & Janis 1983
Thelodonts,Turinia,pagei,Thelodontiformes,Turiniidae,Silurian,middle to late Ludlow,,,Douro Formation,,"Devon Island?, Canadian Arctic",425,423,Vieth 1980; Boucot and Janis 1983 for BA
Thelodonts,Turinia,pagei,Thelodontiformes,Turiniidae,Devonian,Lochkovian,,,Drake Bay Formation,,"Prince of Wales Island?, Canadian Arctic",419,410,Vieth 1980; Turner 1999 for BA
Thelodonts,Turinia,pagei,Thelodontiformes,Turiniidae,Devonian,Emsian,,,Peel Sound Formation,,"Prince of Wales Island?, Canadian Arctic",407,393,Vieth 1980; Boucot and Janis 1983 for BA
Thelodonts,Turinia,pagei,Thelodontiformes,Turiniidae,Devonian,Siegenian,,,Red Canyon River Formation,,Ellesmere Island? Canadian Arctic,410,407,Vieth 1980; Turner 1999 for BA
Thelodonts,Turinia,pagei,Thelodontiformes,Turiniidae,Devonian,Pridol-Lockhovian,,,Stallworthy Formation,,Axel Heiberg Island? Canadian Arctic,423,410,Vieth 1980; Turner 1999 for BA
Thelodonts,Turinia,australiensis,Thelodontiformes,Turiniidae,Devonian,Lochkovian-Pragian,delta CZ to sulcatus CZ,,Craven Peak beds,,"west of Toko Range, western Queensland, Australia",413,409,Turner et al 1981
Thelodonts,Valiukia,flabellata,Shieliiformes,Shieliidae,Silurian,Ludlow,,,Ust'-Spokojnaya Formation,,"Matusevich River, October Revolution Island, Russian Federation",427,423,Turner 1999 for BA
