Group,Genus,species,Order,Family,System,Series,Stage,Group,Formation,Member,Locality,Max Age,Min Age,citation
Osteotracans,Pattenaspis,rogalai,,,Devonian,Lower,Lochkovian,,"Ivanie, Ustechko",,Podolia,414,412,"Schmitz et al., 1991; Uchman et al., 2004 "
Osteotracans,Pattenaspis,whitei,,,Devonian,Lower,Lochkovian,Dittonian,(Rhinopterus crouchi zone),,Welshborderlands,415,413,"Allen and Tarlo, 1963; Schmitz et al., 1997"
Osteotracans,Pattenaspis,oreas,,,Devonian,Lower,Lochkovian,Red Bay Group,Fraenkelryggen,"Primaeva, Polaris? Horizons",Spitsbergen,417,415,Harland 1997 chpt.16 Geology of Svalbard; Boucot & Janis 1983
Osteotracans,Pattenaspis,pygmaea,,,Devonian,Lower,Lochkovian,Red Bay Group,Fraenkelryggen,"Plant, Primaeva horizons",Spitsbergen,417,415,Harland 1997 chpt.16 Geology of Svalbard; Boucot & Janis 1983
Osteotracans,Pattenaspis,watneleili,,,Devonian,Lower,Pragian,,Wood Bay,Kapp Kjeldsen Division,Spitsbergen,413,410,Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Procephalaspis,oeselensis,Thyestiida,,Silurian,Ludlow,Gorstian,,Paadla (2),,Baltic; Saaremaa,427,423,"Janvier, 1985a; Ma_rss and Einasto, 1978 ; Baarli et al 2003; Boucot & Janis 1983"
Osteotracans,Saaremaaspis,mickwitzi,Thyestiida,Tremataspidoidea,Silurian,Wenlock,Homerian,,Rootsikula 1-3,,Baltic; Saaremaa,429,427,"Janvier, 1985a; Ma_rss and Einasto, 1978 ; Baarli et al 2004; Boucot & Janis 1983"
Osteotracans,Sclerodus,pustuliferus,Thyestiida,Tremataspididae,Devonian,Lower,Lochkovian,Dittonian,"Ludlow Bone Bed, Downton Castle Sandstone, Temeside Shales",,Welshborderlands,415,413,Cocks et al 2003
Osteotracans,Scolenaspis,mikrolepidota,,,Devonian,Lower,Lochkovian,,Ustechko,,Podolia,412,410,"Schmitz et al., 1991; Uchman et al., 2004"
Osteotracans,Scolenaspis,signata,Zenaspidida,Zenaspididae,Devonian,Lower,Pragian,Red Bay Group,Ben Nevis,,Spitsbergen,413,410,Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Securiaspis,caledonica,Benneviaspidida,,Devonian,Lower,Lochkovian,,Base of Garvock Group,,"Scotland; Bridge of Allan, Stirling",417,415,"Lavender and Wellman, 2002; Mykura, 1991 "
Osteotracans,Securiaspis,kingi,Benneviaspidida,,Devonian,Lower,Lochkovian,Dittonian,(Rhinopterus crouchi zone),,Welshborderlands,411,410,"Allen and Tarlo, 1963; Schmitz et al., 2007"
Osteotracans,Severaspis,rostralis,Benneviaspidida,Boreaspidoidea,Devonian,Lower,Pragian,,Spokojnaya,,"Severnaya Zemyla, Arctic Russia",410,408,"Ma_nnik et al., 2002 "
Osteotracans,Spangenhelmaspis,staxrudi,Zenaspidida,,Devonian,Lower,Pragian,Red Bay Group,Ben Nevis,"A-I, Benneviaspis horizons",Spitsbergen,413,410,Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Spangenhelmaspis,quadrata,Zenaspidida,,Devonian,Lower,Pragian,Red Bay Group,Ben Nevis,,Spitsbergen,413,410,Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Spatulaspis,robusta,Benneviaspidida,Boreaspididae,Devonian,Lower,Emsian,,Wood Bay,"Kapp Kjeldsen, Lykta",Spitsbergen,409,408,Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Spatulaspis,costata,Benneviaspidida,Boreaspididae,Devonian,Lower,Emsian,,Wood Bay,Lyktan Division,Spitsbergen,407,400,Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Stensiopelta,woodwardi,Zenaspidida,Zenaspididae,Devonian,Lower,Lochkovian,Dittonian,,,"Welshborderlands; Asylum grounds, Abergavenny",419,410,"Allen and Tarlo, 1963; Schmitz et al., 2015"
Osteotracans,Stensiopelta,pustulata,Zenaspidida,Zenaspididae,Devonian,Lower,Lochkovian,Dniester,Ustechko,,Podolia,412,410,"Schmitz et al., 1991; Uchman et al., 2004"
Osteotracans,Superciliaspis,gabrielsei,Zenaspidida,Zenaspididae,Devonian,Lower,Lochkovian,,Delmorme,Unit 10,"North West Territories, Canada",417,410,"Dineley and Loeffler 1976, Zorn et al 2005"
Osteotracans,Tauraspis,rara,Benneviaspidida,Boreaspididae,Devonian,Lower,Pragian,,Spokoinaya ,,"Severnaya Zemyla, Arctic Russia",410,408,"Ma_nnik et al., 2002 "
Osteotracans,Tegaspis,kolleri,Zenaspidida,Zenaspididae,Devonian,Lower,Pragian,Red Bay Group,Ben Nevis,"A-i, Benneviaspis horizon",Spitsbergen,413,410,Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Tegaspis,pedata,Zenaspidida,Zenaspididae,Devonian,Lower,Pragian,Red Bay Group,Ben Nevis,Benneviaspis horizon,Spitsbergen,413,410,Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Tegaspis,waengsjoei,Zenaspidida,Zenaspididae,Devonian,Lower,Lochkovian,Tiver,Ivanie,Ivane (ORI),Podolia,414,412,"Schmitz et al., 1991; Uchman et al., 2004"
Osteotracans,Thyestes,verrucosus,Thyestiida,,Silurian,Wenlock,Homerian,,Rootsikula,,Baltic; Saaremaa,429,427,"Janvier, 1985a; Ma_rss and Einasto, 1978 ; Baarli et al 2004; Boucot & Janis 1983"
Osteotracans,Timanaspis,kossovoii,Thyestiida,Tremataspididae,Silurian,Pridoli,Pridoli,,Eptarma,Katoporus timanicus zone,Urals,419,419,Baarli et al 2003
