Group,Genus,Species,Taxonomic Note,Order,Family,System,Series,Stage,Regional Stage,Group,Formation,Member,Locality,Max Age,Min Age,citation
Heterostracans,Asketaspis,interstincta,,Heterostraci,,Silurian/Devonian,,Lockhovian,Lower Dittonian,,Delorme,transition between Delorme and Road River,Northwest Territories,419,411,Dineley & Loeffler 1976 - GSC 69017 transistion between Delorme and Road River Fm detailed locality info in D&L suggests brackish lagoon - BA 3 according to Boucot & Janis 1983
Heterostracans,Astraspis,desiderata,,Astraspidiformes,Astraspididae,Ordovician,Upper,Katian,Caradoc,,Harding Formation,,"Canon City, Colorado",454,453,Walcott 1892; Boucot and Janis 1983 for BA
Heterostracans,Astraspis,desiderata,,Astraspidiformes,Astraspididae,Ordovician,Upper,Sandbian-Katian,Caradoc,,Winnipeg Formation,South Piney Member,"Bighorn Mountains, Wyoming",454,453,Sansom and Smith 2005
Heterostracans,Astraspis,sp.,,Astraspidiformes,Astraspididae,Ordovician,Upper,Middle Katian,Caradoc 5b,,Lowville Formation,just above base,"Sand Point, Ontario",452,451,Turner et al 2004; Cameron and Mangion 1977 for palaeoenvironment
Heterostracans,Astraspis,sp.,,Astraspidiformes,Astraspididae,Ordovician,Upper,,,,Pamelia Formation,uppermost,"Ouareau River, Quebec, Canada",453,452,Eliuk 1973
Heterostracans,Astraspis,sp.,???,,,Ordovician,,Darriwilian,Whiterockian,,St Peter Formation,,"Winneshiek Lagerstatte, Decorah, Iowa, USA",462,457,"Liu et al 2006, based on Linguloids"
Heterostracans,Athenaegis,chattertoni,,Heterostraci,Tolyaspididae,Silurian,,Telychian/Sheinwoodian,,,Delorme,"Avalanche: AV1, 2, 4","Avalanche Lake, MacKenzie Mountains, Northwest terroritories, Canada",438,430,"Soehn, 2000; Boucot & Janis 1983 for BA"
Heterostracans,Blieckaspis,priscillae,,,,Devonian,,Emsian,late,,Lost Burro Formation,Lippincott Member,"Trail Canyon, Death Valley, California",400,397,Elliott & Ilyes 1996; 
Heterostracans,Blieckaspis,priscillae,,,,Devonian,,Pragian (Upper),,,Water Canyon,,Utah,410,409,Pers. Obs.
Heterostracans,Boothiaspis,,,Heterostraci,Cyathaspididae,Silurian,,Pridoli,,,Devon Island Formation,,"Ellesmere Island, Northwest territories, Canada",423,419,Broad 1973; Boucot & Janis 1983 for BA
Heterostracans,Boothiaspis,ovata,,Heterostraci,Cyathaspididae,Silurian,,Pridoli (Early),,,Peel Sound Fm,,"Prince of Wales Island, Canada",423,422,"Eliott and Dineley, 1991' Novitskaya 2007; Boucot & Janis 1983 for BA"
Heterostracans,Boothiaspis,ovata,,Heterostraci,Cyathaspididae,Silurian,,Pridoli (Early),,,Somerset Island Fm,,"Somerset Island, Canada",423,422,"Eliott and Dineley, 1991' Novitskaya 2007; Elliott 2013; Miall & Kerr 1977 for palaeoenvironment 'inter-tidal'"
Heterostracans,Boothiaspis,alata,,Heterostraci,Cyathaspididae,Silurian,,Pridoli,,,Peel Sound Fm,,"Prince of Wales Island, Canada",423,422,Elliott and Dineley 1991; Boucot & Janis 1983 for BA
Heterostracans,Boothiaspis,alata,,Heterostraci,Cyathaspididae,Silurian,,Pridoli (Early),,,Somerset Island Fm,,"Pressure Point, Somerset Island, Canada",423,422,Elliott and Dineley 1991; Elliott and Swift 2013; Miall & Kerr 1977 for palaeoenvironment 'inter-tidal'
Heterostracans,Brachipteraspis,latissima,,,Pteraspididae,,,Lockhovian,,,Dniester Formation,Strypa ,Podolia,408,407,Voichyshyn 2011
