"","Agulhas","Amsterdam-St_Paul","Andaman","Arctic","Bay_of_Bengal","Benguela","Black_Sea","Central_Indian_Ocean_Islands","Central_Polynesia","Cold_Temperate_Northeast_Pacific","Cold_Temperate_Northwest_Atlantic","Cold_Temperate_Northwest_Pacific","Continental_High_Antarctic","East_Central_Australian_Shelf","Easter_Island","Eastern_Coral_Triangle","Galapagos","Gulf_of_Guinea","Hawaii","Java_Transitional","Juan_Fernandez_and_Desventuradas","Lord_Howe_and_Norfolk_Islands","Lusitanian","Magellanic","Marquesas","Marshall__Gilbert_and_Ellis_Islands","Mediterranean_Sea","North_Brazil_Shelf","Northeast_Australian_Shelf","Northern_European_Seas","Northern_New_Zealand","Northwest_Australian_Shelf","Red_Sea_and_Gulf_of_Aden","Sahul_Shelf","Scotia_Sea","Somali_Arabian","South_China_Sea","South_Kuroshio","Southeast_Australian_Shelf","Southeast_Polynesia","Southern_New_Zealand","Southwest_Australian_Shelf","St__Helena_and_Ascension_Islands","Subantarctic_Islands","Subantarctic_New_Zealand","Sunda_Shelf","Tristan_Gough","Tropical_East_Pacific","Tropical_Northwestern_Atlantic","Tropical_Northwestern_Pacific","Tropical_Southwestern_Atlantic","Tropical_Southwestern_Pacific","Warm_Temperate_Northeast_Pacific","Warm_Temperate_Northwest_Atlantic","Warm_Temperate_Northwest_Pacific","Warm_Temperate_Southeastern_Pacific","Warm_Temperate_Southwestern_Atlantic","West_African_Transition","West_and_South_Indian_Shelf","West_Central_Australian_Shelf","Western_Coral_Triangle","Western_Indian_Ocean"
"Diancistrus_mcgroutheri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,4,0,0,15,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0
"Diancistrus_novaeguineae",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,78,0,0,0,1,0,0,0,0,0,41,0,0,20,0,0,0,0,43,0,0,26,9,0,0,0,0,0,0,0,7,0,0,0,31,0,51,0,0,3,0,0,0,0,0,157,0
"Diancistrus_pohnpeiensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,4,0
"Diancistrus_tongaensis",0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,48,0,0,0,0,0,0,0,0,4,13,0,0,19,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0
"Diaphus_adenomus",23,0,0,0,0,39,0,0,204,2,2,3,0,25,29,157,37,112,118,2,39,33,70,0,34,198,0,33,15,0,56,0,0,15,0,0,74,44,7,253,15,0,38,0,0,12,11,146,273,239,111,226,51,35,45,72,27,52,0,0,217,0
"Diaphus_aliciae",13,0,45,0,4,6,0,83,43,0,0,4,0,22,0,157,0,17,22,68,0,29,0,0,0,198,0,0,25,0,16,39,15,77,0,26,81,44,0,48,0,2,4,0,0,6,0,0,0,239,0,205,0,0,58,0,0,0,57,19,236,295
"Diaphus_anderseni",0,0,28,0,6,8,0,0,204,0,2,3,0,7,0,152,37,109,118,66,10,2,61,0,34,198,0,34,18,0,2,34,0,25,0,0,83,44,0,200,0,0,38,0,0,8,0,146,281,239,108,226,33,38,50,45,12,48,31,8,217,0
"Diaphus_antonbruuni",0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,119
"Diaphus_arabicus",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,14
"Diaphus_bertelseni",24,0,0,0,0,44,0,0,152,0,13,22,0,26,0,73,0,116,99,0,4,33,109,0,0,149,1,43,27,0,56,0,0,62,0,0,89,44,7,39,10,0,38,0,0,22,6,0,163,188,117,220,0,7,65,47,36,54,0,0,146,0
"Diaphus_brachycephalus",13,0,56,0,8,23,0,83,204,0,10,7,0,21,29,156,37,113,118,67,24,31,101,0,34,198,0,31,15,0,32,29,29,17,0,66,74,44,0,253,0,2,38,0,0,8,0,151,272,239,111,226,38,35,42,54,22,52,56,16,242,287
"Diaphus_burtoni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0
"Diaphus_chrysorhynchus",0,0,27,0,0,0,0,0,54,0,0,25,0,2,0,157,0,0,86,23,0,0,0,0,0,73,0,0,8,0,0,27,0,13,0,0,72,44,0,3,0,0,0,0,0,14,0,0,0,218,0,204,0,0,43,0,0,0,0,3,235,0
"Diaphus_coeruleus",10,17,64,0,43,0,0,83,12,0,0,20,0,18,0,157,0,0,22,26,0,31,0,0,0,163,0,0,11,0,50,25,28,13,0,64,68,44,30,48,63,25,0,32,31,13,0,0,0,239,0,205,0,0,40,0,0,0,54,12,239,244
"Diaphus_dahlgreni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0
"Diaphus_danae",0,3,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,54,3,0,0,0,0,0,0,43,0,50,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
"Diaphus_dehaveni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,2,0,0,0,0,0,60,0,0,0,0,0,0,0,9,0,0,30,0,0,0,0,0,0,0,0,8,0,0,0,162,0,18,0,0,0,0,0,0,0,0,205,0
"Diaphus_diadematus",35,16,27,0,4,44,0,83,43,0,0,29,0,26,0,156,0,107,22,66,0,33,26,0,0,198,0,0,22,6,56,37,11,56,0,23,79,44,41,46,44,48,3,0,0,12,19,0,0,239,5,205,0,0,63,0,0,23,56,18,222,293
"Diaphus_diademophilus",0,0,14,0,0,0,0,26,1,0,0,0,0,0,0,89,0,0,0,18,0,0,0,0,0,20,0,0,4,0,0,17,0,18,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,16,0,15,0,0,0,0,0,0,8,0,159,62
"Diaphus_drachmanni",11,18,70,0,37,0,0,83,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,21,22,2,0,57,0,0,30,0,0,33,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,14,27,271
"Diaphus_dumerilii",24,0,0,0,0,43,0,0,0,0,25,0,0,0,0,0,0,116,0,0,0,0,131,0,0,0,1,34,0,6,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,27,1,272,0,111,0,0,38,0,0,32,52,0,0,0,0
