	"Standard 
length (mm)"	"Body 
depth 
(mm)"	"Body 
width
 (mm)"	"Dorsal fin 
spine
 length (mm)"	"Anal fin 
spine 
length 
(mm)"	"Right pectoral
 fin spine length (mm)"	"Left pectoral 
fin spine length (mm)"
Congridae	634.667	39.600	32.933	0.000	0.000	0.000	0.000
Coryphaenidae	244.000	62.300	29.400	15.700	10.950	0.000	0.000
Cottidae	82.550	22.270	17.170	10.530	10.650	0.000	0.000
Cranoglanididae	183.333	39.500	35.700	44.500	0.000	38.600	39.833
Crenuchidae	55.633	12.000	8.533	0.000	0.000	0.000	0.000
Cryptacanthodidae	119.700	11.600	11.900	3.400	2.900	0.000	0.000
Ctenoluciidae	292.667	40.667	24.667	0.000	0.000	0.000	0.000
Cynodontidae	210.333	66.667	25.367	0.000	0.000	0.000	0.000
Cynoglossidae	110.920	32.080	8.470	7.270	6.120	0.000	0.000
Cyprinidae	110.000	33.800	15.533	0.000	0.000	0.000	0.000
Cyprinodontidae	34.270	12.400	6.770	4.230	4.830	0.000	0.000
Dactylopteridae	108.570	20.130	33.430	30.730	15.100	0.000	0.000
Dactyloscopidae	116.220	17.970	12.280	7.080	8.080	0.000	0.000
Denticipitidae	26.650	7.200	3.000	0.000	0.000	0.000	0.000
Derichthyidae	228.000	8.267	4.500	0.000	0.000	0.000	0.000
Diodontidae	148.900	50.950	65.600	17.580	18.950	0.000	0.000
Diplomystidae	166.667	36.933	30.600	24.533	0.000	20.800	19.733
Doradidae	196.000	50.167	41.200	49.200	0.000	51.167	50.867
Draconettidae	103.870	12.230	15.270	14.500	14.170	0.000	0.000
Echeneidae	116.780	14.300	17.050	1.630	8.300	0.000	0.000
Elassomatidae	28.800	8.430	5.370	4.400	4.700	0.000	0.000
Eleotridae	101.400	23.630	20.680	14.870	19.230	0.000	0.000
Elopidae	200.667	32.200	19.000	0.000	0.000	0.000	0.000
Embiotocidae	82.070	33.770	8.900	10.070	4.130	0.000	0.000
Emmelichthyidae	139.380	27.400	17.480	16.580	8.350	0.000	0.000
Engraulidae	145.667	25.900	18.267	0.000	0.000	0.000	0.000
Enoplosidae	98.900	54.450	13.350	40.550	22.350	0.000	0.000
Ephippidae	64.450	50.850	12.350	18.750	7.850	0.000	0.000
Epigonidae	94.800	25.230	16.730	9.130	8.670	0.000	0.000
Esocidae	332.000	52.100	31.333	0.000	0.000	0.000	0.000
Euclichthyidae	187.330	33.800	14.670	31.100	19.000	0.000	0.000
