Genus name,Species name,Group,Age (in Mya),Envronement (terrestrial/aquatic),Site,Source (theirs),Source (mine if additional,Body length (m),Body mass (kg),"Diet (herbivore, omnivore,carnivore, small stuff eater)",Head presence,Head projections,Head surface,Head function,Body presence,Body projections,Body surface,Body function,Tail presence,Tail projections,Tail surface,Tail function,Notes
Moythomasia,sp.,Actinopterygii,Frasnian,,,Choo 2011,,20,,,,,,,,,,,,,,,
Mimipsicus,toombsi,Actinopterygii,Frasnian,,,Choo 2011,,20,,,,,,,,,,,,,,,
Novogonatodus,kazantsevae,Actinopterygii,Tournaisian,,,Long 1988,,20,,,,,,,,,,,,,,,
Mesolepis,sp.,Actinopterygii,Visean,,,Photo,,20,,,,,,,,,,,,,,,
Donnrosenia,schaefferi,Actinopterygii,Givetian,,,Long et al. 2008,,21,,,,,,,,,,,,,,,
Soetendalichthys,cromptoni,Actinopterygii,Visean,,,Gardiner 1969,,21,,,,,,,,,,,,,,,
Cheirolepis,tralli,Actinopterygii,Eifelian-Givetian,,,Frickhinger 1991,,25,,,,,,,,,,,,,,,
Willomorichthys,striatulus,Actinopterygii,Visean,,,Gardiner 1969,,25,,,,,,,,,,,,,,,
Rhadinichthys,ornatissmus,Actinopterygii,Visean,,,Hussakof & Bryant 1918,,25,,,,,,,,,,,,,,,
Cosmoptychius,striatus,Actinopterygii,Tournaisian-Visean,,,Traquair 1877,,26,,,,,,,,,,,,,,,
Yogoniscus,gulo,Actinopterygii,Serpukhovian,,,Frickhinger 1991,,27,,,,,,,,,,,,,,,
Benedenius,deenensis,Actinopterygii,Visean,,,Boulenger 1899,,29,,,,,,,,,,,,,,,
Acrolepis,ortholepis,Actinopterygii,Visean,,,Frickhinger 1991,,30,,,,,,,,,,,,,,,
Amphicentrum,crassum,Actinopterygii,Visean-Serpukhovian,,,"Sallan and Coates, 2013",,30,,,,,,,,,,,,,,,
Gonatodus,brainerdi,Actinopterygii,Famennian,,,Newberry 1889,,40,,,,,,,,,,,,,,,
Mansfieldiscus,sweeti,Actinopterygii,Tournaisian,,,Long 1988,,40,,,,,,,,,,,,,,,
Mentzichthys,jubbi,Actinopterygii,Visean,,,Gardiner 1969,,40,,,,,,,,,,,,,,,
Nematoptychius,greenocki,Actinopterygii,Visean-Serpukhovian,,,Frickhinger 1991,,45,,,,,,,,,,,,,,,
Howqualepis,rostridens,Actinopterygii,Givetian,,,Long 1988,,50,,,,,,,,,,,,,,,
Tanypterichthys,pridensis,Actinopterygii,Serpukhovian,,,Weems & Windolph 1986,,50,,,,,,,,,,,,,,,
Cheirolepis,canadensis,Actinopterygii,Frasnian,,,Whitheaves 1887,,53,,,,,,,,,,,,,,,
Tegeolepis,clarki,Actinopterygii,Famennian,,,Dunkle & Schaeffer 1973,,100,,,,,,,,,,,,,,,
Superciliaspis,gabrielsi,Agnatha,Lochkovian,,,Hawthorn et al. 2008,,5,,,,,,,,,,,,,,,
Rhyncholepis,parvulus,Agnatha,Lochkovian,,,Obruchev 1967,,7,,,,,,,,,,,,,,,
Legendrelepis,parenti,Agnatha,Frasnian,,,Janvier 1996,,8.5,,,,,,,,,,,,,,,
Hirella,gracilis,Agnatha,Lochkovian,,,Obruchev 1967,,9,,,,,,,,,,,,,,,
Eupanerops,longaevus,Agnatha,Frasnian,,,Janvier 1996,,10,,,,,,,,,,,,,,,
Pterygolepis,nitidus,Agnatha,Lochkovian,,,Obruchev 1967,,11,,,,,,,,,,,,,,,
Aporemaspis,pholidata,Agnatha,Lochkovian,,,Elliott & Loeffler 1984,,11,,,,,,,,,,,,,,,
Cephalaspis,powrei,Agnatha,Lochkovian,,,Frickhinger 1991,,12,,,,,,,,,,,,,,,
Cornovichthys,blaauweni,Agnatha,Eifelian,,,Newman & Trewin 2001,,12,,,,,,,,,,,,,,,
Pteraspis,rostrata,Agnatha,Lochkovian,,,Frickhinger 1991,,15,,,,,,,,,,,,,,,
Nikolivia,milesi,Agnatha,Lochkovian,,,Turner 1982,,15,,,,,,,,,,,,,,,
Endeiolepis,aneri,Agnatha,Frasnian,,,Janvier 1996,,16,,,,,,,,,,,,,,,
Pharyngolepis,oblongus,Agnatha,Lochkovian,,,Obruchev 1967,,18,,,,,,,,,,,,,,,
Errivaspis,waynensis,Agnatha,Lochkovian,,,Mark-Kurik and Botella 2009,,19,,,,,,,,,,,,,,,
