Species name,Group (Order),Stage bin,Age (in Mya),Youngest Age,Environment (terrestrial/aquatic),Source,Body length (m),Body mass (kg),source BM,"Diet (herbivore, omnivore,carnivore, small stuff eater)",Head presence,Head surface,Head projections,Head function,Body presence,Body projections,Body surface,Body function,Tail presence,Tail projections,Tail surface,Tail function,Notes,Habitat or water depth,Geographical Distribution
Minicrania_lissa,Placodermi,Lochkovian,,,,,8,,"Janvier and Phuong, 1999",small stuff,1,1,0,Sturdy head shield,1,1,1,All antiarchs have heavely ossified pectoral fine that I think should count has having body spine,0,0,0,0,"Antiarch placoderm, almost identical to the other, better known, species of Minicrania",,
Chuchinolepis_dongmoensis,Placodermi,Lochkovian,,,,,6,,Wang et al. 2010,small stuff,1,1,0,Sturdy head shield,1,1,1,All antiarchs have heavely ossified pectoral fine that I think should count has having body spine,0,0,0,0,antiarch placoderm,,
Yunnanolepis_bacboensis,Placodermi,Lochkovian,,,,,14,,Wang et al. 2010,small stuff,1,1,0,Sturdy head shield,1,1,1,All antiarchs have heavely ossified pectoral fine that I think should count has having body spine,0,0,0,0,antiarch placoderm,,
Yunnanolepis_chii,Placodermi,Lochkovian,,,,,18,,Zhao & Zhu 2010,small stuff,1,1,0,Sturdy head shield,1,1,1,All antiarchs have heavely ossified pectoral fine that I think should count has having body spine,0,0,0,0,antiarch placoderm,,
Yunnanolepis_porifera,Placodermi,Lochkovian,,,,,7,,Zhu 1996,small stuff,1,1,0,Sturdy head shield,1,1,1,All antiarchs have heavely ossified pectoral fine that I think should count has having body spine,0,0,0,0,"Antiarch placoderm, has a tiny project on the dorsal armour that might or might not be considered for defense",,
Heteroyunnanolepis_qujingensis,Placodermi,Lochkovian,,,,,22,,Zhu 1996,small stuff,1,1,0,Sturdy head shield,1,1,1,All antiarchs have heavely ossified pectoral fine that I think should count has having body spine,0,0,0,0,antiarch placoderm,,
Chuchinolepis_gracilis,Placodermi,Lochkovian,,,,,6,,Zhu 1996,small stuff,1,1,0,Sturdy head shield,1,1,1,All antiarchs have heavely ossified pectoral fine that I think should count has having body spine,0,0,0,0,antiarch placoderm,,
Zhanjilepis_aspriatilis,Placodermi,Lochkovian,,,,,6,,Zhu 1996,small stuff,1,1,0,Sturdy head shield,1,1,1,All antiarchs have heavely ossified pectoral fine that I think should count has having body spine,0,0,0,0,antiarch placoderm,,
Minicrania_lirouyii,Placodermi,Lochkovian,,,,,4.5,,Zhu & Janvier 1996,small stuff,1,1,0,Sturdy head shield,1,1,1,All antiarchs have heavely ossified pectoral fine that I think should count has having body spine,0,0,0,0,antiarch placoderm,,
Diandongpetalichthys_liaojaoshanensis,Placodermi,Lochkovian,,,,,10,,Zhu 1991,? ,1,1,0,Head shield,1,1,1,Spiky fin spine,?,?,?,?,Petalichthyid placoderm,,
