Species name,Group (Order),Stage bin,Age (in Mya),Youngest Age,Environment (terrestrial/aquatic),Source,Body length (m),Body mass (kg),source BM,"Diet (herbivore, omnivore,carnivore, small stuff eater)",Head presence,Head surface,Head projections,Head function,Body presence,Body projections,Body surface,Body function,Tail presence,Tail projections,Tail surface,Tail function,0tes,Habitat or water depth,Geographical Distribution
Apateacanthus_vestustus,Acanthodii,Frasnian,,,,,31,,Burrow 2004,,?,?,?,?,?,?,?,?,?,?,?,?,Isolated jaw bone,,
Atopacanthus_dentatus,Acanthodii,Frasnian,,,,,31,,Burrow 2004,,?,?,?,?,?,?,?,?,?,?,?,?,Isolated jaw bone,,
Culmacanthus_stewartii,Acanthodii,Frasnian,,,,,14,,Young 1989,,0,NA,NA,Head has quite large plates,1,1,0,Fin spines,0,NA,NA,NA,Fin spines,,
Machaeracanthus_sp.,Acanthodii,Frasnian,,,,,16,,Reed 1986,,,,,,,,,,,,,,Can't find,,
Machaeracanthus_restustus,Acanthodii,Frasnian,,,,,55,,Wells 1940,,,,,,,,,,,,,,Can't find,,
Diplacanthus_horridus,Acanthodii,Frasnian,,,,,12,,Denison 1979,,0,NA,NA,NA,1,1,0,Fin spines,0,NA,NA,NA,Fin spines,,
Triazeugacanthus_affinus,Acanthodii,Frasnian,,,,,3,,Frickhinger 1991,,0,NA,NA,NA,1,1,0,Fin spines,0,NA,NA,NA,Fin spines,,
Homalacanthus_concinnus,Acanthodii,Frasnian,,,,,8,,Frickhinger 1991,,0,NA,NA,NA,1,1,0,Fin spines,0,NA,NA,NA,Fin spines,,
Gyracanthus_sarlei,Acanthodii,Frasnian,,,,,51,,Hussakof & Bryant 1918,,?,?,?,?,1,1,?,Isolated fin spines,?,?,?,?,,,
Florestacanthus_morenoi,Acanthodii,Frasnian,,,,,56,,Burrow et al. 2003,,?,?,?,?,1,1,0,Fin spines,?,?,?,?,,,
Cosmacanthus_malcomsoni,Acanthodii,Frasnian,,,,,34,,0yitskava & Obruchev 1967,,,,,,,,,,,,,,Can't find,,
Onchus_latus,Acanthodii,Famennian,,,,,4,,Derycke & Clement 2002,,,,,,,,,,,,,,"This is incorrect - The fin spine, which is iolated, is 4cm long.  No length is given.",,
Gyracanthus_sherwoodi,Acanthodii,Famennian,,,,,90,,Newberry 1889,,?,?,?,?,1,1,0,Fin spines,?,?,?,?,,,
Diplacanthus_acus,Acanthodii,Famennian,,,,,10,,Gess 2001,,0,NA,NA,"Head not enormously well preserved (specimen essentially a fish-shaped splat), but doesn't look like it had armour",1,1,?,Fin spines (armour unknown as can't see pectoral region clearly),0,NA,NA,NA,,,
